index,DEBTINC,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,BAD
0,34.521450249,40000,134029.0,191990.0,DebtCon,Mgr,,1.0,0.0,178.7809596,0.0,24.0,0
1,34.357866,25500,113204.0,184561.0,DebtCon,Sales,17.0,1.0,0.0,308.95819842,1.0,31.0,0
2,25.623638507,26000,20119.0,54563.0,DebtCon,Other,24.0,0.0,0.0,126.98795944,0.0,11.0,0
3,38.217725784,8700,77377.0,97070.0,DebtCon,Mgr,3.0,0.0,0.0,68.854877174,2.0,24.0,0
4,41.538051097,15800,51281.0,144202.0,DebtCon,Other,1.0,0.0,0.0,285.9978979,4.0,43.0,0
5,,12000,44000.0,59500.0,DebtCon,Other,3.7,0.0,0.0,172.5,0.0,14.0,0
6,38.582669884,12000,84172.0,123415.0,DebtCon,Office,9.0,0.0,0.0,139.01844935,1.0,21.0,0
7,40.932766781,11900,63833.0,,DebtCon,Other,3.0,,,,,,1
8,24.470299986,13400,78465.0,97506.0,DebtCon,Other,5.0,3.0,0.0,71.44366499,1.0,21.0,0
9,40.15214366,18000,107546.0,176314.0,DebtCon,Office,6.0,0.0,0.0,218.01938613,3.0,23.0,0
10,31.290118994,9800,79767.0,93525.0,DebtCon,Other,0.0,4.0,0.0,,0.0,4.0,0
11,,7000,5768.0,26600.0,,,,,,,,,0
12,35.388379715,20600,32439.0,55024.0,DebtCon,Other,0.0,,,302.78394945,,24.0,0
13,28.434342078,8600,42380.0,60733.0,DebtCon,Mgr,3.0,0.0,0.0,199.29314197,0.0,22.0,0
14,,23000,42600.0,69500.0,DebtCon,Other,10.0,0.0,0.0,119.7,1.0,20.0,0
15,33.624133446,7200,15637.0,39660.0,HomeImp,Self,6.0,0.0,1.0,354.23976343,3.0,42.0,1
16,29.632108256,12000,57371.0,69076.0,DebtCon,Mgr,10.0,1.0,0.0,83.251972039,1.0,19.0,0
17,28.493861936,12800,11986.0,48309.0,HomeImp,Office,23.0,0.0,0.0,265.2270609,0.0,20.0,0
18,38.251392033,17400,24687.0,37391.0,,Office,2.0,0.0,0.0,217.74427464,0.0,16.0,0
19,,15500,48100.0,67000.0,DebtCon,Other,15.0,,,,,,1
20,,25000,122000.0,151200.0,DebtCon,Office,1.0,1.0,6.0,262.33333333,3.0,30.0,1
21,36.229863857,13400,60174.0,81944.0,DebtCon,Other,1.0,0.0,0.0,125.38544605,3.0,9.0,0
22,24.662276673,7500,12115.0,35910.0,HomeImp,Office,13.0,3.0,6.0,234.90075082,0.0,24.0,1
23,28.787922854,8700,46489.0,63573.0,DebtCon,Mgr,4.0,0.0,0.0,196.24907,1.0,21.0,0
24,26.248190692,30900,230978.0,291013.0,DebtCon,ProfExe,12.0,0.0,1.0,268.39423798,1.0,26.0,0
25,34.104697064,10600,80386.0,106526.0,HomeImp,ProfExe,1.0,0.0,0.0,64.066735538,1.0,19.0,0
26,30.674205288,10400,57816.0,82047.0,HomeImp,Other,3.0,0.0,1.0,176.65689456,0.0,12.0,0
27,26.225758833,20900,39244.0,55582.0,HomeImp,Self,5.0,1.0,,120.2198845,,10.0,0
28,,50000,44000.0,59000.0,DebtCon,Office,12.0,0.0,1.0,102.5,2.0,26.0,0
29,,20000,79741.0,117600.0,DebtCon,Other,10.0,0.0,0.0,291.16666667,2.0,17.0,0
30,,30000,48000.0,97000.0,DebtCon,Office,3.0,0.0,0.0,173.5,2.0,25.0,0
31,37.588199542,9800,62826.0,65912.0,HomeImp,Other,6.0,0.0,0.0,132.75248959,0.0,34.0,0
32,29.910707758,22300,,136587.0,HomeImp,Other,1.0,0.0,0.0,311.65908119,3.0,20.0,0
33,27.021480654,13100,74832.0,98616.0,HomeImp,ProfExe,6.0,0.0,0.0,101.36228964,1.0,26.0,0
34,,10000,52410.0,54500.0,,Mgr,1.0,9.0,4.0,132.9,4.0,29.0,1
35,,6800,,27410.0,HomeImp,Mgr,6.0,1.0,0.0,2.0333333333,1.0,5.0,1
36,29.272556814,12400,137927.0,160566.0,HomeImp,ProfExe,6.0,0.0,1.0,436.75177987,0.0,42.0,0
37,4.384983222,21300,55140.0,81692.0,DebtCon,Other,12.0,0.0,0.0,109.90068569,1.0,10.0,0
38,27.975935447,17300,40280.0,66319.0,DebtCon,,4.0,0.0,0.0,101.32557693,2.0,9.0,0
39,29.60717111,17700,60260.0,90196.0,HomeImp,ProfExe,11.0,0.0,1.0,177.85484553,0.0,14.0,0
40,37.821851509,9400,53244.0,62245.0,DebtCon,Other,23.0,0.0,0.0,276.78774402,3.0,28.0,0
41,,10000,78000.0,97400.0,HomeImp,ProfExe,1.0,0.0,0.0,72.033333333,1.0,20.0,0
42,34.596837528,13700,95065.0,123858.0,DebtCon,Other,9.0,0.0,0.0,176.95253246,0.0,27.0,0
43,40.769061823,25700,43881.0,69954.0,DebtCon,Other,10.0,0.0,0.0,126.47306563,0.0,20.0,0
44,39.593595223,24000,144975.0,180539.0,DebtCon,ProfExe,6.0,,,193.1196811,5.0,43.0,0
45,15.174415003,6000,,53190.0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,0
